url,title_length,article_length,keywords,shares,5*B2+C2-3*D2
http://mashable.com/2013/01/07/amazon-instant-video-browser/,2,175,5,167,
http://mashable.com/2013/01/07/ap-samsung-sponsored-tweets/,2,201,4,200,
http://mashable.com/2013/01/07/apple-40-billion-app-downloads/,2,194,6,187,
http://mashable.com/2013/01/07/astronaut-notre-dame-bcs/,2,219,7,208,
http://mashable.com/2013/01/07/att-u-verse-apps/,2,237,7,230,
http://mashable.com/2013/01/07/beewi-smart-toys/,2,242,9,226,
http://mashable.com/2013/01/07/bodymedia-armbandgets-update/,2,233,10,214,
http://mashable.com/2013/01/07/canon-poweshot-n/,2,229,9,207,
http://mashable.com/2013/01/07/car-of-the-future-infographic/,2,234,7,226,
http://mashable.com/2013/01/07/chuck-hagel-website/,2,231,5,216,
http://mashable.com/2013/01/07/cosmic-events-doomsday/,2,216,8,200,
http://mashable.com/2013/01/07/crayon-creatures/,2,223,7,213,
http://mashable.com/2013/01/07/creature-cups/,2,225,8,209,
http://mashable.com/2013/01/07/dad-jokes/,2,237,6,229,
http://mashable.com/2013/01/07/downton-abbey-tumblrs/,2,260,7,250,
http://mashable.com/2013/01/07/earth-size-planets-milky-way/,2,275,6,267,
http://mashable.com/2013/01/07/echo-game/,2,278,5,275,
http://mashable.com/2013/01/07/entrepreneur-trends-2013/,2,300,6,288,
http://mashable.com/2013/01/07/facebook-sick-app/,2,307,6,298,
http://mashable.com/2013/01/07/felt-audio-pulse-speaker/,2,300,8,279,
http://mashable.com/2013/01/07/ford-glympse/,2,302,10,278,
http://mashable.com/2013/01/07/ftc-google-leaks/,2,325,7,311,
http://mashable.com/2013/01/07/fujifilm-50x-superzoom/,2,356,7,346,
http://mashable.com/2013/01/07/hillary-clinton-helmet/,2,348,6,332,
http://mashable.com/2013/01/07/htc-q1/,2,364,4,360,
http://mashable.com/2013/01/07/huawei-ascend-mate/,2,367,10,353,
http://mashable.com/2013/01/07/iheartradio-app-perfect-for/,2,396,9,377,
http://mashable.com/2013/01/07/intel-awesome-laptop/,2,413,9,393,
http://mashable.com/2013/01/07/isp02-iphone-take-your-pulse/,2,406,10,388,
http://mashable.com/2013/01/07/jobs-contently/,2,420,6,410,
http://mashable.com/2013/01/07/land-a-job-at-spotify/,3,447,7,445,
http://mashable.com/2013/01/07/lego-taking-robotics-to-next-level-with-mindstorms-ev3/,3,438,7,429,
http://mashable.com/2013/01/07/lg-oled-tv-price/,3,434,9,424,
http://mashable.com/2013/01/07/lionel-messi-fashion-moments/,3,453,6,448,
http://mashable.com/2013/01/07/living-room-pinterest-contest/,3,465,8,458,
http://mashable.com/2013/01/07/livio-connect-expands/,3,499,10,492,
http://mashable.com/2013/01/07/magisto-ces/,3,526,10,509,
http://mashable.com/2013/01/07/man-instagram-images-blind/,3,523,9,512,
http://mashable.com/2013/01/07/mcafee-spying/,3,544,6,545,
http://mashable.com/2013/01/07/messi-year-all-goals/,3,544,6,533,
http://mashable.com/2013/01/07/monster-ea-gaming-headphones/,3,544,9,533,
http://mashable.com/2013/01/07/monster-katana-bluetooth-speake/,3,541,8,535,
http://mashable.com/2013/01/07/nectar-mobile-powe/,3,537,7,537,
http://mashable.com/2013/01/07/nvidia-project-shield/,3,547,10,529,
http://mashable.com/2013/01/07/nvidia-tegra-4/,3,563,8,553,
http://mashable.com/2013/01/07/obama-boombox-israeli-radio-station-ad/,3,558,5,559,
http://mashable.com/2013/01/07/omron-fitness-monitors/,3,579,8,561,
http://mashable.com/2013/01/07/one-directions-kiss-you-video-is-here-after-barrage-of-web-teasers/,3,573,10,556,
http://mashable.com/2013/01/07/panasonic-second-screen/,3,591,9,580,
http://mashable.com/2013/01/07/pantech-discover-att/,3,599,8,589,
http://mashable.com/2013/01/07/papertab/,3,599,10,584,
http://mashable.com/2013/01/07/philips-fidelio-p8-speaker/,3,587,8,578,
http://mashable.com/2013/01/07/philips-fidelio-soundbar/,3,619,9,602,
http://mashable.com/2013/01/07/pitchfork-advance-album-stream/,3,612,6,604,
http://mashable.com/2013/01/07/polaroid-android-camera/,3,633,8,630,
http://mashable.com/2013/01/07/power-matters-alliance-organization/,3,621,10,600,
http://mashable.com/2013/01/07/rage-comics-dying/,3,633,7,624,
http://mashable.com/2013/01/07/reeddit-reddit/,3,638,9,621,
http://mashable.com/2013/01/07/roku-adds-channels-device-partners-ces/,3,654,10,636,
http://mashable.com/2013/01/07/samsung-2013-ces-press-conference/,3,651,6,648,
http://mashable.com/2013/01/07/samsung-85-inch-uhd-tv/,3,646,10,624,
http://mashable.com/2013/01/07/samsung-mulit-view-tv/,3,634,9,629,
http://mashable.com/2013/01/07/samsung-quad-core-tv/,3,627,7,619,
http://mashable.com/2013/01/07/samsung-smart-hub/,3,641,9,630,
http://mashable.com/2013/01/07/samsung-uhd-blu-ray/,3,640,9,626,
http://mashable.com/2013/01/07/sharp-intros-worlds-largest-led-hdtv/,3,623,8,614,
http://mashable.com/2013/01/07/sharp-unveils-next-gen-igo-hdtvs/,3,631,9,623,
http://mashable.com/2013/01/07/social-media-iran/,3,634,5,625,
http://mashable.com/2013/01/07/social-tv-movies-getglue-2012/,4,664,9,656,
http://mashable.com/2013/01/07/sony-stops-manufacturing-playstation-2/,4,682,6,682,
http://mashable.com/2013/01/07/stolen-iphone-dating/,5,706,7,710,
http://mashable.com/2013/01/07/targus-touch-pen-windows-8/,5,717,10,711,
http://mashable.com/2013/01/07/ticketmaster-inauguration/,5,726,6,734,
http://mashable.com/2013/01/07/top-twitter-pics-1-7/,5,750,10,743,
http://mashable.com/2013/01/07/toshiba-4k-tv/,6,747,8,749,
http://mashable.com/2013/01/07/traffic-signals-bugs/,6,761,8,766,
http://mashable.com/2013/01/07/vh1-new-logo-plus-sign/,6,765,10,773,
http://mashable.com/2013/01/07/youtube-future-tv/,7,765,7,779,
http://mashable.com/2013/01/07/youtube-vs-cable/,7,754,6,762,
http://mashable.com/2013/01/08/artist-drone-pilots-craigslist-fbi/,7,769,6,787,
http://mashable.com/2013/01/08/japanese-cat-bomb-hacker/,7,789,6,808,
http://mashable.com/2013/01/08/lego-iphone-case/,8,798,10,810,
http://mashable.com/2013/01/08/nfl-arian-foster-twitter-avatar/,8,834,4,859,
http://mashable.com/2013/01/08/personal-for-education/,9,832,10,848,
http://mashable.com/2013/01/08/ro-marley-ces-2013/,9,854,10,866,
http://mashable.com/2013/01/08/samsung-curved-oled/,9,860,8,878,
http://mashable.com/2013/01/08/snow-dogs/,9,857,7,878,
http://mashable.com/2013/01/08/star-trek-into-darkness-app/,9,877,10,894,
http://mashable.com/2013/01/08/star-wars-episode-vii-who-will-direct-it-now/,9,892,5,920,
http://mashable.com/2013/01/08/t-mobile-data/,10,881,7,917,
http://mashable.com/2013/01/08/t-mobile-value-plan/,10,889,7,913,
http://mashable.com/2013/01/09/1600-penn-sprinkles-cupcakes/,10,890,6,926,
http://mashable.com/2013/01/09/50-cent-ces/,10,899,7,932,
http://mashable.com/2013/01/09/amazon-predictions-2013/,10,902,6,928,
http://mashable.com/2013/01/09/apple-phablet/,10,903,8,929,
http://mashable.com/2013/01/09/arrested-development-may/,10,905,5,938,
http://mashable.com/2013/01/09/bad-instagram-filters/,10,898,9,919,
http://mashable.com/2013/01/09/beam-remote-telepresence/,10,902,8,930,
http://mashable.com/2013/01/09/bieber-4chan-hoax/,10,937,8,966,
http://mashable.com/2013/01/09/blue-umbrella-teaser-video-pixar/,10,964,9,987,
